Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00270590411977915,-0.000777804279113158,-0.0038969069995069,0,0,0,1.01735652605602,0.00653955544069661,-0.000145472575179364,-0.000147199308938309,0.0155666368669926,4.67328671519751E-06,0.0202675932630787,0,0,0,0,0,0,package://urdf/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf/meshes/base_link.STL,,机体new-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left_link,1.29093144882186E-06,-8.00972545067502E-06,-0.00437727561682061,0,0,0,0.0276709889657561,5.48345801850678E-05,-6.08257931774842E-09,7.08958707724225E-10,5.48163551972365E-05,9.20463476615314E-11,0.000108803106386462,0,0,0,0,0,0,package://urdf/meshes/front_left_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf/meshes/front_left_link.STL,,螺旋桨正-1,front_left_base,front_left,front_left_joint,continuous,0.15948,0.1565,0.073247,0,0,0,base_link,0,0,1,,,,,,,,,,,,
front_right_link,-5.14354515876447E-06,-3.32573533587399E-06,-0.00437715492996982,0,0,0,0.0276722597367738,5.48280876964765E-05,2.83473180548925E-10,-6.46469716944244E-10,5.48486786099491E-05,-4.76681622683081E-10,0.000108828865361431,0,0,0,0,0,0,package://urdf/meshes/front_right_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf/meshes/front_right_link.STL,,螺旋桨反桨-2,front_right_base,front_right,front_right_joint,continuous,0.15948,-0.1565,0.073247,0,0,0,base_link,0,0,1,,,,,,,,,,,,
back_left_link,-6.98179041319635E-06,8.7129631942684E-07,-0.00437713650333883,0,0,0,0.0276720462761253,5.48190460860862E-05,-5.44839360988142E-09,-1.25899374765416E-10,5.48342362711538E-05,-1.12983641712843E-09,0.000108805406639433,0,0,0,0,0,0,package://urdf/meshes/back_left_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf/meshes/back_left_link.STL,,螺旋桨反桨-1,back_left_base,back_left,back_left_joint,continuous,-0.15948,0.1565,0.073247,0,0,0,base_link,0,0,1,,,,,,,,,,,,
back_right_link,1.29087842759557E-06,-8.00961504293651E-06,-0.004377275682482,0,0,0,0.0276709887521579,5.48345801527662E-05,-6.08258501359831E-09,7.0896261189936E-10,5.48163551789338E-05,9.20538267663622E-11,0.000108803106339897,0,0,0,0,0,0,package://urdf/meshes/back_right_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf/meshes/back_right_link.STL,,螺旋桨正-2,back_right_base,back_right,back_right_joint,continuous,-0.15948,-0.1565,0.073247,0,0,0,base_link,0,0,1,,,,,,,,,,,,
left_link,-0.00143154372335368,0.0079156961985527,-0.098678446334195,0,0,0,0.396661536197525,0.000671694166975538,1.20096218347438E-05,4.60043959091728E-06,0.0131366492933799,3.64876942890667E-05,0.0126847585426908,0,0,0,0,0,0,package://urdf/meshes/left_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf/meshes/left_link.STL,,腿右-1,left_base,left,left_joint,revolute,0,0.153,-0.00752,0,0,0,base_link,1,0,0,0,0,0,1.57,,,,,,,,
front_left_wheel_link,0,0,0,0,0,0,0.0274732277556427,4.26235681450565E-06,-3.12930917762062E-21,1.93904921925967E-22,6.69316511196846E-06,2.02328090369897E-20,4.26235681450565E-06,0,0,0,0,0,0,package://urdf/meshes/front_left_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf/meshes/front_left_wheel_link.STL,,轮子-1,front_left_wheel_base,front_left_wheel,front_left_wheel_joint,continuous,0.20016,0.019,-0.1364,0,0,0,left_link,0,1,0,,,,,,,,,,,,
back_left_wheel_link,2.77555756156289E-17,0,0,0,0,0,0.0274732277556427,4.26235681450565E-06,-3.12930917762062E-21,1.93904921925967E-22,6.69316511196846E-06,2.02328090369897E-20,4.26235681450565E-06,0,0,0,0,0,0,package://urdf/meshes/back_left_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf/meshes/back_left_wheel_link.STL,,轮子-2,back_left_wheel_base,back_left_wheel,back_left_wheel_joint,continuous,-0.20016,0.019,-0.1364,0,0,0,left_link,0,1,0,,,,,,,,,,,,
right_link,-0.00143084446196562,-0.00791565004548878,-0.0986782813020985,0,0,0,0.396663325676347,0.000671697583830792,-1.20124794224642E-05,4.60026615978317E-06,0.0131366807952159,-3.64882645287992E-05,0.0126847868322065,0,0,0,0,0,0,package://urdf/meshes/right_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf/meshes/right_link.STL,,腿左-1,right_base,right,right_joint,revolute,0,-0.153,-0.0075,0,0,0,base_link,-1,0,0,0,0,0,1.57,,,,,,,,
front_right_wheel_link,-2.77555756156289E-17,-2.77555756156289E-17,2.77555756156289E-17,0,0,0,0.0274732277556427,4.26235681450565E-06,-1.99851656831276E-23,1.34942453887426E-22,6.69316511196846E-06,-2.03026791254472E-20,4.26235681450565E-06,0,0,0,0,0,0,package://urdf/meshes/front_right_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf/meshes/front_right_wheel_link.STL,,轮子-3,front_right_wheel_base,front_right_wheel,front_right_wheel_joint,continuous,0.20016,-0.019,-0.1364,0,0,0,right_link,0,1,0,,,,,,,,,,,,
